id,section,year,title,authors,journal,area,country,type,doi_url,doi_label,pdf_file,link,event_site,extra_url_2,extra_label_2
2,Articles published in proceedings,"2015","Optimization in digital image processing to determine quantum dots heights from atomic force microscopy.","RUIZ, J. E.; SOUZA, P. L.; DORNELAS, L. P.; PIRES, M. P.","XIV Brazil MRS Meeting, Rio de Janeiro. Proceedings of the XIV Brazil MRS Meeting, p. 222.","","","proceedings","http://sbpmat.org.br/14encontro/anais/pdfs/plenary/ASEA.pdf","","",
3,Preprints,"2020","A free web service for fast COVID-19 classification of chest X-Ray images","Jose David Bermudez Castro; Ricardo Rei; Jose E. Ruiz; Pedro Achanccaray Diaz; Smith Arauco Canchumuni; Cristian Muñoz Villalobos; Felipe Borges Coelho; Leonardo Forero Mendoza; Marco Aurelio C. Pacheco","arXiv 2009.01657.","","","preprints","https://doi.org/10.48550/arXiv.2009.01657","","",
4,Congress presentations,"2026","Dispersion of photonic crystal structures according to their bandgap for TE modes and TM modes.","L. Mouchel; J.E. Ruiz; T. Sabardeil; C. Rodriguez; T.M. Diallo; M.S. Rouifed; G. Hamon; M-J. Gour","Photonics North, Québec City, Canada.","","","conference","https://www.photonicsnorth.com/en","","",
4,Congress presentations,"2025","X-Ray Diffraction of Infrared Quantum Bragg Mirror Detectors Structures Designed by Artificial Intelligence","Jailson Santana; Jose E. R. Rosero; Pedro Henrique Pereira; Luciana D. Pinto; Rudy M. S. Kawabata; Guilherme M. Torelly; Germano M. Penello; Patrícia L. Souza; Mauricio P. Pires","SBMicro - 39th symposium on microelectronics technology and devices - Chip in the Jungle.","","","conference","https://sites.google.com/uea.edu.br/chip-in-the-jungle-2025/Program/program/sbmicro-program","","",
4,Congress presentations,"2025","Optimizing Quantum Bragg Mirror Detector:A Genetic Algorithm Approach","Pedro H. Pereira; Jose E. Ruiz; Guilherme M. Torelly; Mauricio P. Pires; Patricia L. Souza; Germano M. Penello","Mid-IR Optoelectronics: Materials and Devices XVII.","","","conference","https://miomd2025.conf.tuwien.ac.at/","","",
4,Congress presentations,"2023","Quantum Bragg Mirror Detector Optimization Applying Genetic Algorithms","Jose Ruiz; Pedro H. Pereira; Germano M. Penello; Guilherme M. Torelly; Patricia L. Souza; Mauricio P. Pires","Autumn Meeting of the Brazilian Physical Society, Ouro Preto.","","","conference","http://www1.fisica.org.br/~eosbf/2023/index.php/en/","","",
4,Congress presentations,"2023","Mapping and Optimization of Oscillator Strength in Quantum Bragg Mirror Detectors as a Function of their Dimensions","Jose Ruiz; Pedro H. Pereira; Germano M. Penello; Guilherme M. Torelly; Patricia L. Souza; Mauricio P. Pires","SBMicro - 37th symposium on microelectronics technology and devices - Chip in Rio.","","","conference","https://sbmicro.org.br/chip-eventos/chip2023/wp-content/uploads/2023/08/CHIP_Catalogo_.pdf","","",
4,Congress presentations,"2022","A Free Web Service for Fast COVID-19 Classification of Chest X-Ray Images with Artificial Intelligence","Jose David Bermudez Castro; Jose E. Ruiz; Pedro Achanccaray Diaz; Smith Arauco Canchumuni; Cristian Muñoz Villalobos; Felipe Borges Coelho; Leonardo Forero Mendoza; Marco Aurelio C. Pacheco ","Computational Science and Its Applications - ICCSA 2022. ICCSA 2022. Lecture Notes in Computer Science, vol 13375. Springer, Cham.","","","conference","https://doi.org/10.1007/978-3-031-10522-7_29","","",
4,Congress presentations,"2017","Dilute Nitride GaInNAs Growth with Low Decomposition Temperature Precursors by MOVPE.","RUIZ, J. E.; OHLMANN, J.; DIMROTH, F.; LACKNER, D.","DGKK “Deutsche Gesellschaft für Kristallwachstum und Kristallzüchtung” - Freiburg im Breisgau - Germany.","","","conference","https://www.ise.fraunhofer.de/content/dam/ise/de/downloads/pdf/DGKK_2017_Homepage-Programm.pdf","","",
4,Congress presentations,"2017","Simulação e otimização de células solares simples e multijunção com algoritmos genéticos.","PACHECO, M. A. C.; RUIZ, J. E.; GALVÃO, P.","2017. In: XIX CECEMM: Congresso dos Estudantes de Ciência e Engenharia de Materiais do MERCOSUL.","","","conference","","","",
4,Congress presentations,"2015","Dependence of the strain of InAs/InGaAlAs QDs on their size.","RUIZ, J. E.; PIRES, M. P.; SOUZA, P. L.","XIV Brazil MRS Meeting, 2015, Rio de Janeiro. Proceedings of the XIV Brazil MRS Meeting.","","","conference","http://sbpmat.org.br/14encontro/anais/pdfs/plenary/ASEV.pdf","","",
4,Congress presentations,"2015","From InAs extended monolayer flat 2D terraces to 3D islands grown on GaAs substrates.","Torelly, G; RUIZ, J.; JAKOMIN, R.; DORNELAS, L. P.; PIRES, M. P.; CALDAS, P. G.; PRIOLI, R.; XIE, H.; PONCE, F. A.; SOUZA, P. L.","In: XIV Brazil MRS Meeting, Rio de Janeiro.","","","conference","https://www.sbpmat.org.br/14encontro/anais/pdfs/plenary/ASEA.pdf","","",
10,Chapters in books,"2019","Otimização da malha metálica de dedos coletores para o contato elétrico frontal de células solares por algoritmos genéticos.","Roberto Carlos Pejendino Jojoa; Daniel Neves Micha; Jose Eduardo Ruiz Rosero; Eleonora Cominato Weiner; Mauricio Pamplona Pires; Patrícia Lustoza de Souza","Energia no Brasil. 1ed.: Editora Poisson, v. 1, p. 89-101.","","","book","https://doi.org/10.5935/978-85-7042-107-4","","",
20,Patents,"2021","Method for Extracting and Structuring Information","","BR 10 2021 023977-8. Issued Nov 26, 2021 - Journal number: 2662 - Section VI patents","","","patent","http://revistas.inpi.gov.br/rpi/","","",
